order_id,product_id,quantity,unit_price,line_total
ECOM00000001,P0037,3,19.25,57.75
ECOM00000002,P0042,2,4.03,8.06
ECOM00000002,P0087,2,2.5,5.0
ECOM00000002,P0086,3,1.68,5.04
ECOM00000002,P0024,3,3.11,9.33
ECOM00000003,P0034,1,41.67,41.67
ECOM00000003,P0014,3,1.99,5.97
ECOM00000003,P0077,3,15.81,47.43
ECOM00000003,P0048,3,6.5,19.5
ECOM00000003,P0067,2,36.46,72.92
ECOM00000004,P0087,3,28.29,84.87
ECOM00000004,P0007,1,8.73,8.73
ECOM00000004,P0045,2,20.66,41.32
ECOM00000004,P0034,3,8.64,25.92
ECOM00000004,P0085,1,62.22,62.22
ECOM00000005,P0060,2,6.82,13.64
ECOM00000005,P0023,2,21.17,42.34
ECOM00000006,P0096,1,33.09,33.09
ECOM00000006,P0086,1,26.9,26.9
ECOM00000006,P0061,3,8.21,24.63
ECOM00000006,P0042,2,25.37,50.74
ECOM00000007,P0100,2,120.24,240.48
ECOM00000008,P0016,3,13.21,39.63
ECOM00000008,P0032,1,8.81,8.81
ECOM00000008,P0048,3,44.94,134.82
ECOM00000009,P0098,3,4.37,13.11
ECOM00000009,P0012,2,3.79,7.58
ECOM00000009,P0094,1,9.73,9.73
ECOM00000010,P0043,2,3.9,7.8
ECOM00000010,P0090,3,6.71,20.13
ECOM00000010,P0006,2,13.94,27.88
ECOM00000010,P0058,2,2.68,5.36
ECOM00000010,P0048,1,61.84,61.84
ECOM00000011,P0076,2,14.49,28.98
ECOM00000011,P0066,2,103.11,206.22
ECOM00000012,P0093,2,14.29,28.58
ECOM00000012,P0092,2,7.79,15.58
ECOM00000012,P0067,2,9.72,19.44
ECOM00000012,P0099,3,36.74,110.22
ECOM00000013,P0003,2,5.74,11.48
ECOM00000013,P0014,2,24.48,48.96
ECOM00000013,P0030,3,6.92,20.76
ECOM00000013,P0004,3,44.05,132.15
ECOM00000014,P0046,3,2.19,6.57
ECOM00000014,P0049,2,26.11,52.22
ECOM00000015,P0031,2,52.45,104.9
ECOM00000015,P0095,3,56.89,170.67
ECOM00000016,P0093,3,16.15,48.45
ECOM00000016,P0004,2,6.49,12.98
ECOM00000016,P0001,3,17.66,52.98
ECOM00000016,P0009,2,48.93,97.86
ECOM00000017,P0098,2,9.61,19.22
ECOM00000017,P0032,2,3.4,6.8
ECOM00000017,P0084,1,7.53,7.53
ECOM00000017,P0065,3,1.62,4.86
ECOM00000017,P0002,2,1.81,3.62
ECOM00000018,P0072,1,42.82,42.82
ECOM00000018,P0037,1,102.17,102.17
ECOM00000018,P0081,3,15.57,46.71
ECOM00000018,P0054,3,5.61,16.83
ECOM00000018,P0008,2,32.65,65.3
ECOM00000019,P0081,1,255.8,255.8
ECOM00000020,P0013,1,8.6,8.6
ECOM00000020,P0082,3,5.94,17.82
ECOM00000020,P0008,2,36.94,73.88
ECOM00000021,P0019,3,28.49,85.47
ECOM00000021,P0053,1,16.63,16.63
ECOM00000021,P0077,2,58.42,116.84
ECOM00000022,P0074,1,31.63,31.63
ECOM00000022,P0069,3,23.6,70.8
ECOM00000022,P0091,2,67.18,134.36
ECOM00000023,P0080,2,12.53,25.06
ECOM00000023,P0059,2,2.73,5.46
ECOM00000023,P0025,2,3.83,7.66
ECOM00000023,P0001,2,6.64,13.28
ECOM00000023,P0064,1,25.54,25.54
ECOM00000024,P0050,3,14.45,43.35
ECOM00000024,P0057,3,16.96,50.88
ECOM00000024,P0073,2,11.04,22.08
ECOM00000024,P0062,3,6.59,19.77
ECOM00000024,P0016,3,14.18,42.54
ECOM00000025,P0081,2,129.25,258.5
ECOM00000026,P0055,2,46.45,92.9
ECOM00000026,P0032,3,22.01,66.03
ECOM00000026,P0087,1,37.11,37.11
ECOM00000026,P0014,2,27.11,54.22
ECOM00000027,P0071,3,28.17,84.51
ECOM00000027,P0034,1,34.65,34.65
ECOM00000027,P0070,2,16.93,33.86
ECOM00000027,P0020,1,60.9,60.9
ECOM00000028,P0023,2,39.7,79.4
ECOM00000028,P0094,2,11.79,23.58
ECOM00000028,P0100,2,4.62,9.24
ECOM00000028,P0099,2,8.74,17.48
ECOM00000028,P0039,3,19.69,59.07
ECOM00000029,P0082,2,14.06,28.12
ECOM00000029,P0083,1,32.45,32.45
ECOM00000029,P0064,2,5.54,11.08
ECOM00000029,P0100,2,11.22,22.44
ECOM00000029,P0027,3,48.77,146.31
ECOM00000030,P0063,2,40.97,81.94
ECOM00000030,P0065,1,30.04,30.04
ECOM00000030,P0090,2,3.79,7.58
ECOM00000030,P0039,1,95.04,95.04
ECOM00000031,P0084,1,39.87,39.87
ECOM00000031,P0064,1,29.43,29.43
ECOM00000031,P0066,1,12.16,12.16
ECOM00000031,P0096,3,3.72,11.16
ECOM00000031,P0087,1,12.92,12.92
ECOM00000032,P0067,3,5.79,17.37
ECOM00000032,P0013,2,3.59,7.18
ECOM00000032,P0028,2,3.17,6.34
ECOM00000032,P0077,1,4.87,4.87
ECOM00000032,P0053,3,1.24,3.72
ECOM00000033,P0020,2,12.23,24.46
ECOM00000033,P0041,1,27.74,27.74
ECOM00000034,P0014,1,68.71,68.71
ECOM00000034,P0087,1,39.52,39.52
ECOM00000034,P0022,1,56.93,56.93
ECOM00000035,P0083,1,16.07,16.07
ECOM00000035,P0073,3,36.06,108.18
ECOM00000035,P0005,2,73.29,146.58
ECOM00000036,P0071,2,10.44,20.88
ECOM00000036,P0076,1,43.3,43.3
ECOM00000036,P0078,1,11.67,11.67
ECOM00000036,P0091,3,9.38,28.14
ECOM00000036,P0005,2,14.48,28.96
ECOM00000037,P0029,3,2.42,7.26
ECOM00000037,P0034,3,2.78,8.34
ECOM00000037,P0032,2,5.37,10.74
ECOM00000037,P0078,1,44.94,44.94
ECOM00000037,P0026,1,80.62,80.62
ECOM00000038,P0022,1,40.52,40.52
ECOM00000038,P0068,3,5.76,17.28
ECOM00000038,P0024,1,11.08,11.08
ECOM00000038,P0078,3,4.6,13.8
ECOM00000038,P0057,1,13.88,13.88
ECOM00000039,P0035,2,9.86,19.72
ECOM00000039,P0033,1,73.96,73.96
ECOM00000040,P0075,3,35.96,107.88
ECOM00000040,P0061,2,16.82,33.64
ECOM00000040,P0049,2,55.98,111.96
ECOM00000041,P0083,1,20.99,20.99
ECOM00000041,P0077,2,3.81,7.62
ECOM00000041,P0088,2,18.36,36.72
ECOM00000041,P0037,1,6.47,6.47
ECOM00000041,P0036,1,30.49,30.49
ECOM00000042,P0092,2,40.14,80.28
ECOM00000042,P0001,3,15.39,46.17
ECOM00000042,P0090,1,126.65,126.65
ECOM00000043,P0089,3,21.47,64.41
ECOM00000043,P0085,2,8.48,16.96
ECOM00000043,P0011,2,3.56,7.12
ECOM00000043,P0072,3,3.25,9.75
ECOM00000043,P0100,3,11.44,34.32
ECOM00000044,P0053,3,21.47,64.41
ECOM00000045,P0076,1,62.54,62.54
ECOM00000045,P0047,1,97.8,97.8
ECOM00000045,P0053,2,51.79,103.58
ECOM00000046,P0096,1,245.7,245.7
ECOM00000047,P0050,2,3.94,7.88
ECOM00000047,P0038,1,102.02,102.02
ECOM00000047,P0061,1,134.64,134.64
ECOM00000048,P0008,1,78.83,78.83
ECOM00000048,P0087,1,41.85,41.85
ECOM00000048,P0046,1,57.51,57.51
ECOM00000049,P0008,2,29.66,59.32
ECOM00000049,P0012,2,19.24,38.48
ECOM00000049,P0064,1,41.76,41.76
ECOM00000050,P0085,3,26.92,80.76
ECOM00000050,P0018,3,46.3,138.9
ECOM00000051,P0039,2,7.29,14.58
ECOM00000051,P0048,3,6.38,19.14
ECOM00000051,P0021,3,3.55,10.65
ECOM00000051,P0069,3,5.25,15.75
ECOM00000052,P0060,2,2.94,5.88
ECOM00000052,P0051,1,7.7,7.7
ECOM00000052,P0086,2,4.17,8.34
ECOM00000052,P0030,1,5.42,5.42
ECOM00000052,P0011,2,2.75,5.5
ECOM00000053,P0023,2,35.57,71.14
ECOM00000053,P0016,3,3.53,10.59
ECOM00000053,P0069,2,33.74,67.48
ECOM00000054,P0044,1,20.3,20.3
ECOM00000054,P0070,2,53.5,107.0
ECOM00000054,P0084,2,56.05,112.1
ECOM00000055,P0080,2,17.07,34.14
ECOM00000055,P0083,2,17.25,34.5
ECOM00000055,P0090,1,11.69,11.69
