order_id,order_ts,customer_id,channel,order_total,shipping_fee,tax,status
ECOM00000001,2026-01-03T23:19:39.098536,5dac3d55-2e01-43f0-9482-bc0f8a3c7584,web,57.76,0.0,4.4,placed
ECOM00000002,2026-01-04T15:13:39.098536,ff1451ca-5bac-4459-bf98-54bb2cbd53bb,web,27.43,4.99,1.71,placed
ECOM00000003,2026-01-04T09:07:39.098536,3041a1f7-8e61-402f-9c21-36e084ccc720,web,187.47,7.99,13.68,placed
ECOM00000004,2026-01-03T21:41:39.098536,31b37ab7-cd6e-4f1d-888a-8285a1a19d71,web,223.07,7.99,16.39,delivered
ECOM00000005,2026-01-04T03:36:39.098536,febf45b0-1cbb-4b56-b621-58a07674d168,web,55.98,7.99,3.66,placed
ECOM00000006,2026-01-04T02:32:39.098536,31b37ab7-cd6e-4f1d-888a-8285a1a19d71,web,135.36,0.0,10.32,placed
ECOM00000007,2026-01-04T11:15:39.098536,9ac002b9-2fb5-45f6-94fc-cfdf1b8b472f,web,240.48,7.99,17.72,cancelled
ECOM00000008,2026-01-04T16:07:39.098536,b0952327-3a6a-400a-8743-590ebc284b97,web,183.27,7.99,13.36,placed
ECOM00000009,2026-01-04T15:36:39.098536,0628347b-4caf-43b9-833c-de1bda9fb25e,web,30.41,0.0,2.32,delivered
ECOM00000010,2026-01-04T15:06:39.098536,9b46a10e-fc18-47b4-96c0-6587f1c230cd,web,122.99,7.99,8.76,shipped
ECOM00000011,2026-01-04T01:03:39.098536,206ecc96-0f4d-44b0-9eb0-0061e980b9d6,web,235.2,7.99,17.32,shipped
ECOM00000012,2026-01-04T15:21:39.098536,4447991e-e75f-426e-b835-a5de0f7a5b90,web,173.83,0.0,13.25,placed
ECOM00000013,2026-01-04T14:13:39.098536,9bb00b57-4db8-46b3-adda-63591923acd2,web,213.33,0.0,16.26,delivered
ECOM00000014,2026-01-04T01:55:39.098536,17af2eda-f99d-4793-bf3d-23d8a948671a,web,58.8,9.99,3.72,delivered
ECOM00000015,2026-01-04T09:05:39.098536,de93c243-2941-4de4-bdb3-c4e4f094a6e8,web,275.56,4.99,20.62,placed
ECOM00000016,2026-01-04T16:12:39.098536,6c7db293-5ecb-40b2-9f1b-68b6db8101c2,web,212.26,9.99,15.42,shipped
ECOM00000017,2026-01-03T23:50:39.098536,bbe98baf-055f-4256-bb02-ac80135c0920,web,42.04,9.99,2.44,placed
ECOM00000018,2026-01-04T02:49:39.098536,071ec2e0-6dec-4cd2-b851-1cdc49ee47ab,web,273.84,4.99,20.49,shipped
ECOM00000019,2026-01-03T17:00:39.098536,463b3e95-5ca5-4c65-91ce-becd84a562ac,web,255.8,7.99,18.89,placed
ECOM00000020,2026-01-03T22:19:39.098536,7b22349d-20c6-4230-bec0-bfde029a6bc7,web,100.28,7.99,7.03,delivered
ECOM00000021,2026-01-04T08:13:39.098536,c5aaeb97-5941-4bda-80da-46a979c9cfb2,web,218.95,7.99,16.08,placed
ECOM00000022,2026-01-04T07:25:39.098536,6baf675e-0547-4a45-a3bb-65e0c0c724a3,web,236.78,7.99,17.44,placed
ECOM00000023,2026-01-04T09:46:39.098536,567c0ba3-de43-461e-9729-a07ccb37363e,web,77.0,4.99,5.49,placed
ECOM00000024,2026-01-03T23:03:39.098536,a4e71d72-eb78-4d2f-af05-e15e456b0602,web,178.61,7.99,13.0,shipped
ECOM00000025,2026-01-03T20:04:39.098536,213fdb8d-6d5f-4622-85ad-51f78978c143,web,258.51,9.99,18.94,placed
ECOM00000026,2026-01-04T13:08:39.098536,ee587b12-4fb7-4266-a5db-76cd88a574e3,web,250.26,4.99,18.69,cancelled
ECOM00000027,2026-01-03T21:21:39.098536,5995fc9f-ada0-48db-810c-95d75329d1ec,web,213.9,4.99,15.92,shipped
ECOM00000028,2026-01-04T06:07:39.098536,2c592fb8-271f-4731-9ed1-33b60d980c0d,web,188.78,4.99,14.01,placed
