snapshot_ts,store_id,product_id,on_hand_qty
2026-01-04T16:25:39.219674,S001,P0001,41
2026-01-04T16:25:39.219674,S002,P0001,148
2026-01-04T16:25:39.219674,S003,P0001,198
2026-01-04T16:25:39.219674,S004,P0001,94
2026-01-04T16:25:39.219674,S005,P0001,165
2026-01-04T16:25:39.219674,S001,P0002,93
2026-01-04T16:25:39.219674,S002,P0002,176
2026-01-04T16:25:39.219674,S003,P0002,77
2026-01-04T16:25:39.219674,S004,P0002,29
2026-01-04T16:25:39.219674,S005,P0002,2
2026-01-04T16:25:39.219674,S001,P0003,148
2026-01-04T16:25:39.219674,S002,P0003,120
2026-01-04T16:25:39.219674,S003,P0003,10
2026-01-04T16:25:39.219674,S004,P0003,30
2026-01-04T16:25:39.219674,S005,P0003,82
2026-01-04T16:25:39.219674,S001,P0004,37
2026-01-04T16:25:39.219674,S002,P0004,175
2026-01-04T16:25:39.219674,S003,P0004,98
2026-01-04T16:25:39.219674,S004,P0004,126
2026-01-04T16:25:39.219674,S005,P0004,106
2026-01-04T16:25:39.219674,S001,P0005,167
2026-01-04T16:25:39.219674,S002,P0005,4
2026-01-04T16:25:39.219674,S003,P0005,80
2026-01-04T16:25:39.219674,S004,P0005,7
2026-01-04T16:25:39.219674,S005,P0005,38
2026-01-04T16:25:39.219674,S001,P0006,126
2026-01-04T16:25:39.219674,S002,P0006,187
2026-01-04T16:25:39.219674,S003,P0006,144
2026-01-04T16:25:39.219674,S004,P0006,102
2026-01-04T16:25:39.219674,S005,P0006,4
2026-01-04T16:25:39.219674,S001,P0007,72
2026-01-04T16:25:39.219674,S002,P0007,96
2026-01-04T16:25:39.219674,S003,P0007,27
2026-01-04T16:25:39.219674,S004,P0007,185
2026-01-04T16:25:39.219674,S005,P0007,19
2026-01-04T16:25:39.219674,S001,P0008,73
2026-01-04T16:25:39.219674,S002,P0008,24
2026-01-04T16:25:39.219674,S003,P0008,93
2026-01-04T16:25:39.219674,S004,P0008,179
2026-01-04T16:25:39.219674,S005,P0008,70
2026-01-04T16:25:39.219674,S001,P0009,98
2026-01-04T16:25:39.219674,S002,P0009,58
2026-01-04T16:25:39.219674,S003,P0009,111
2026-01-04T16:25:39.219674,S004,P0009,176
2026-01-04T16:25:39.219674,S005,P0009,125
2026-01-04T16:25:39.219674,S001,P0010,48
2026-01-04T16:25:39.219674,S002,P0010,97
2026-01-04T16:25:39.219674,S003,P0010,48
2026-01-04T16:25:39.219674,S004,P0010,196
2026-01-04T16:25:39.219674,S005,P0010,16
2026-01-04T16:25:39.219674,S001,P0011,162
2026-01-04T16:25:39.219674,S002,P0011,200
2026-01-04T16:25:39.219674,S003,P0011,50
2026-01-04T16:25:39.219674,S004,P0011,136
2026-01-04T16:25:39.219674,S005,P0011,121
2026-01-04T16:25:39.219674,S001,P0012,172
2026-01-04T16:25:39.219674,S002,P0012,168
2026-01-04T16:25:39.219674,S003,P0012,117
2026-01-04T16:25:39.219674,S004,P0012,12
2026-01-04T16:25:39.219674,S005,P0012,70
2026-01-04T16:25:39.219674,S001,P0013,28
2026-01-04T16:25:39.219674,S002,P0013,111
2026-01-04T16:25:39.219674,S003,P0013,179
2026-01-04T16:25:39.219674,S004,P0013,110
2026-01-04T16:25:39.219674,S005,P0013,57
2026-01-04T16:25:39.219674,S001,P0014,109
2026-01-04T16:25:39.219674,S002,P0014,145
2026-01-04T16:25:39.219674,S003,P0014,70
2026-01-04T16:25:39.219674,S004,P0014,99
2026-01-04T16:25:39.219674,S005,P0014,34
2026-01-04T16:25:39.219674,S001,P0015,104
2026-01-04T16:25:39.219674,S002,P0015,200
2026-01-04T16:25:39.219674,S003,P0015,121
2026-01-04T16:25:39.219674,S004,P0015,197
2026-01-04T16:25:39.219674,S005,P0015,24
