sale_id,sale_ts,store_id,customer_id,product_id,quantity,unit_price,discount,payment_method
POS00000001,2026-01-03T23:01:38.427757,S003,7f69eee1-7f55-4266-9e75-ed379fae7fdc,P0036,1,25.45,0.0,apple_pay
POS00000002,2026-01-04T03:15:38.427757,S002,12627e02-8a3d-4907-804f-731f61d7a761,P0066,3,33.91,0.0,card
POS00000003,2026-01-03T17:58:38.427757,S003,de93c243-2941-4de4-bdb3-c4e4f094a6e8,P0098,2,45.17,2.0,cash
POS00000004,2026-01-04T05:21:38.427757,S001,e78c071b-c4c5-4988-b9a4-a493ce8aeed3,P0066,1,33.91,1.0,google_pay
POS00000005,2026-01-04T07:47:38.427757,S001,767fcd5a-c4e6-407b-aa39-ddf571969e51,P0063,2,27.98,0.0,card
POS00000006,2026-01-04T00:11:38.427757,S002,14f6d48f-02ac-4ba4-8702-2ddb03edbfcd,P0064,1,85.44,0.0,card
POS00000007,2026-01-04T13:26:38.427757,S004,ff1451ca-5bac-4459-bf98-54bb2cbd53bb,P0032,1,21.11,1.0,google_pay
POS00000008,2026-01-04T01:04:38.427757,S005,41b7ada7-1248-4225-a3ff-09b27f36f3ac,P0003,1,68.0,0.0,card
POS00000009,2026-01-04T12:24:38.427757,S004,83c89055-5a29-4e2e-b912-bfe4878d2dec,P0092,1,46.4,1.0,apple_pay
POS00000010,2026-01-04T11:12:38.427757,S002,6002c3f2-3bba-4808-a88d-79642b1150ee,P0072,1,16.86,0.5,google_pay
POS00000011,2026-01-04T07:41:38.427757,S002,2c592fb8-271f-4731-9ed1-33b60d980c0d,P0041,2,41.99,0.0,cash
POS00000012,2026-01-04T13:12:38.427757,S004,30e9ce9c-9beb-4f8b-b24a-2397e692a486,P0005,1,33.19,1.0,apple_pay
POS00000013,2026-01-04T03:56:38.427757,S003,a23e8d9a-f151-40d0-b2dd-867c150b1851,P0080,3,66.01,0.0,card
POS00000014,2026-01-04T16:12:38.427757,S004,a2e1b4dc-78e0-457c-b02a-ad7e8babb63b,P0082,3,72.93,0.5,cash
POS00000015,2026-01-04T07:59:38.427757,S003,61d32fac-ecec-4e61-ae12-0c01f8ffff2f,P0049,1,38.33,0.5,google_pay
POS00000016,2026-01-04T08:04:38.427757,S001,fb6c7447-4db1-4c12-91d1-c0d3dc31a4d7,P0028,1,50.86,0.0,cash
POS00000017,2026-01-04T01:44:38.427757,S002,f7b00b4d-1ccb-473d-adb4-523a1a1d19fa,P0094,1,30.0,0.0,google_pay
POS00000018,2026-01-04T04:59:38.427757,S003,c0ffaa38-6c50-4f33-9fef-b984e99864a4,P0083,3,74.39,2.0,cash
POS00000019,2026-01-04T07:36:38.427757,S001,3537df7e-1e0c-4ebc-8b03-ca077680265e,P0035,2,50.02,0.0,apple_pay
POS00000020,2026-01-04T09:48:38.427757,S002,b0952327-3a6a-400a-8743-590ebc284b97,P0067,3,74.99,2.0,google_pay
POS00000021,2026-01-04T01:39:38.427757,S002,54b28a4a-282c-40ff-9bfe-7f6c1a42e383,P0030,3,41.55,1.0,google_pay
POS00000022,2026-01-03T21:47:38.427757,S001,12627e02-8a3d-4907-804f-731f61d7a761,P0014,3,19.43,0.0,card
POS00000023,2026-01-03T19:05:38.427757,S003,2811419b-3017-4e80-8c2c-09fbb44c09c5,P0085,2,13.75,2.0,card
POS00000024,2026-01-04T07:36:38.427757,S001,d80649d6-9c50-47fe-bcbd-2a20fe445dd3,P0096,2,31.62,0.0,google_pay
POS00000025,2026-01-03T16:37:38.427757,S003,1eb8916f-e09a-4434-9297-fae0e6db9c93,P0044,4,60.11,0.5,card
POS00000026,2026-01-03T20:12:38.427757,S001,1e8ece07-ea7e-481c-959a-fc5c31a2e68e,P0095,1,20.25,1.0,apple_pay
POS00000027,2026-01-03T20:05:38.427757,S001,d80649d6-9c50-47fe-bcbd-2a20fe445dd3,P0006,4,44.59,0.0,card
POS00000028,2026-01-03T19:12:38.427757,S004,8c1a2292-935e-476b-b36e-f7c2e8971691,P0052,3,77.67,1.0,google_pay
POS00000029,2026-01-04T14:27:38.427757,S002,888810b0-561b-471c-98ec-dabdbc78195f,P0070,4,62.59,0.0,apple_pay
POS00000030,2026-01-04T12:34:38.427757,S002,310fdd49-11d2-4aa5-9f50-e1a399e51200,P0098,1,45.17,0.0,google_pay
POS00000031,2026-01-04T09:07:38.427757,S005,7f9908b4-f633-4691-8ca6-5ed20fd34ded,P0079,3,43.22,0.0,google_pay
POS00000032,2026-01-03T17:58:38.427757,S004,9ae8ff9d-92b2-4ba0-817f-cade7559ea97,P0024,2,72.14,2.0,apple_pay
POS00000033,2026-01-04T05:34:38.427757,S001,767fcd5a-c4e6-407b-aa39-ddf571969e51,P0064,3,85.44,0.0,apple_pay
POS00000034,2026-01-04T02:45:38.427757,S002,ef82285f-74c7-4c81-8464-c88849233598,P0033,2,38.85,0.0,cash
POS00000035,2026-01-04T05:16:38.427757,S005,df8cc9fc-0382-4931-9463-2f9278992832,P0098,4,45.17,0.0,google_pay
POS00000036,2026-01-04T07:24:38.427757,S005,2b875069-b43b-435c-8632-e3a37a5e253f,P0046,3,51.27,2.0,card
POS00000037,2026-01-04T05:07:38.427757,S005,9260e7f0-cee6-4a04-8a7f-72bd76b6021e,P0064,1,85.44,0.0,card
POS00000038,2026-01-04T03:50:38.427757,S001,d89c1753-ba08-490a-8e06-05ab2cd5617f,P0096,4,31.62,0.0,google_pay
POS00000039,2026-01-04T13:24:38.427757,S001,c6f84d78-dfda-4429-8980-526b8af1ec05,P0098,1,45.17,0.0,google_pay
